,Category,Question
8,Individual Response ,why are ppl still going outside with thair kides whne its not safe (covid )
9,Individual Response ,why are people st ill going outside with t heir k ids when its not safe (co vid )
0,Individual Response ,are covic hoax hypotjezez a f9rm of denial based coping
1,Individual Response ,are coQid hoax Yypothe$eD a form of dGnial based coping
2,Individual Response ,are covid hoax hypotheses a orm of denial basd copin
3,Individual Response ,are covid Thoax hypotheses a fojrm of denial based co0ping
4,Individual Response ,are covdi hoxa hypohtesse a form of denial based coping
5,Individual Response ,are covdi hoxa hypohtesse a form of denial based coping
6,Individual Response ,are covid hoax hypotheses a form of denial based cope
7,Individual Response ,covid hoax hypotheses a of denial coping
8,Individual Response ,are covid hoax hypotheses an from ot denial based coping
9,Individual Response ,are covid hoax hypothe ses a f orm of den ial based coping
0,Individual Response ,should people taLe covid more seriously
1,Individual Response ,sSould people take covid more seriously
2,Individual Response ,shoud people take covid more seriously
3,Individual Response ,should people takQe covid more seriously
4,Individual Response ,should people atke covid more seriously
5,Individual Response ,should people atke covid more seriously
6,Individual Response ,should people take covid more seriously
7,Individual Response ,should people take covid seriously
8,Individual Response ,should people take covid more seriosly
9,Individual Response ,should p eople take covid more seriously
0,Individual Response ,what are Zome good books to read while youre c)oped up in self auarantJhe dhring the coDid pandemic
1,Individual Response ,what are some go5d books to read while you5e cooped up in self quarantine durinU the cjvid pandemFr
2,Individual Response ,what are som god books to rea while youre cooped up in sel quarantine during the covid ndemic
3,Individual Response ,whact are sSome good books to read while youre cooped up in self quarantine duri%ng the Ycovid jpandemwic
4,Individual Response ,what are soem good books to erad while youre cooepd up in eslf uaqrantien during the covid pandemic
5,Individual Response ,what are soem good books to erad while youre cooepd up in eslf uaqrantien during the covid pandemic
6,Individual Response ,what are some good books to read while youre cooped up in self quarantine during the covid pandemic
7,Individual Response ,what some good books to read youre in self quarantine during the pandemic
8,Individual Response ,[[wath are some god bocks to read whih youre cooped up in self quarentine during the covid pandemic
9,Individual Response ,w hat are some good b ooks to re ad while youre coop ed up in se lf quarantine during the covid pandemic
0,Individual Response ,how can people not bfPieve the covid is %eal
1,Individual Response ,how can peoxle not believe the cQvid is real
2,Individual Response ,how can peole not believe the covid is ral
3,Individual Response ,how can pTeople not believe the covied is real
4,Individual Response ,how can peolpe not bleieev the covid is real
5,Individual Response ,how can peolpe not bleieev the covid is real
6,Individual Response ,how can people non believe the covid is real
7,Individual Response ,how can not believe the is real
8,Individual Response ,how can people not belive the covid is realee
9,Individual Response ,how can pe ople not b elieve the covid is real
0,Individual Response ,whaG do i do if i thinu im sick
1,Individual Response ,what do i do if i thinL im s$ck
2,Individual Response ,what do i do if i thin im ick
3,Individual Response ,whaet do i do if i thiynk im sick
4,Individual Response ,what do i do if i thikn im scik
5,Individual Response ,what do i do if i thikn im scik
6,Individual Response ,what do i do if i think im sick
7,Individual Response ,what do i if i think sick
8,Individual Response ,what do i dos if I’ve think im sick
9,Individual Response ,what do i do if i th ink im si ck
0,Individual Response ,how do we cope with stress durLng covis
1,Individual Response ,how do we iope with stress Xuring covid
2,Individual Response ,how do we cope wth tress during covid
3,Individual Response ,how do we c1ope with stress during covDid
4,Individual Response ,how do we cope with srtess during covdi
5,Individual Response ,how do we cope with srtess during covdi
6,Individual Response ,how do we cope with stress during covid
7,Individual Response ,how do we cope with during
8,Individual Response ,how do Wue cope with street during covid
9,Individual Response ,how do we co pe w ith stress during covid
0,Individual Response ,whah if my child or AomeoMe elde in the home is sick w&th symptoms of covid
1,Individual Response ,wha^ if my child or s8meYne else in the hobe is sick with ^ympooms of covid
2,Individual Response ,what if my chil or smeon else in the hom is sick with sympom of covid
3,Individual Response ,what if my c1hild or so4mXeone else in the homce is sick jwith symptoms of covid
4,Individual Response ,what if my chidl or someone else in the hmoe is sick with smytpoms of covdi
5,Individual Response ,what if my chidl or someone else in the hmoe is sick with smytpoms of covdi
6,Individual Response ,what if my child or mortal else in the base equal sick with symptoms of covid
7,Individual Response ,what if child or in the home sick with symptoms of covid
8,Individual Response ,what f my childe or someone alse in the home i'ts sick with symptoms of covid
9,Individual Response ,what if my ch ild or someone else in the ho me is s ick with sy mptoms of covid
0,Individual Response ,how are you coping during the c8vid crisia
1,Individual Response ,how are you coping duriGg the cov4d crisis
2,Individual Response ,how are you copin durin the covid crisis
3,Individual Response ,how are you coping during the cdovid %crisis
4,Individual Response ,how are you coping during the covdi rcisis
5,Individual Response ,how are you coping during the covdi rcisis
6,Individual Response ,how be you coping during the covid crisis
7,Individual Response ,are you coping during the covid crisis
8,Individual Response ,how aer hou coping during the covid crisis
9,Individual Response ,how are you c oping during the cov id crisis
0,Individual Response ,wheres the first plaXe y0ure going to travel to once cov9d dies down
1,Individual Response ,wheres the fiCst pl@ce youSe going to travel to once covid dies down
2,Individual Response ,wheres the fist plac youre going to travel to once covid dies don
3,Individual Response ,wheres the first placoe youre going to Gtravel to once @covid dies down
4,Individual Response ,wheres the first place youre going to travle to once covdi dise down
5,Individual Response ,wheres the first place youre going to travle to once covdi dise down
6,Individual Response ,wheres the first place youre going to travel to once covid dies pile
7,Individual Response ,wheres first place going to travel to once covid dies
8,Individual Response ,wheres the first place youre gonging to travel whit once covid dies dowm
9,Individual Response ,wheres the first pla ce youre going to travel to once cov id di es down
0,Individual Response ,should i cancel my t%ip
1,Individual Response ,should i cancel my tGip
2,Individual Response ,should i cncel my trip
3,Individual Response ,should i cancel my traip
4,Individual Response ,should i cancel my rtip
5,Individual Response ,should i cancel my rtip
6,Individual Response ,should i cancel my trip
7,Individual Response ,should i cancel my
8,Individual Response ,should I’ve cancel my trip
9,Individual Response ,should i ca ncel my trip
0,Individual Response ,what are you doing to sLend time whilS staying Nome due to covid
1,Individual Response ,what are you doing to spend tkme while 7tGying home due to cUvid
2,Individual Response ,wha are you doing to spnd time while staying home due to covd
3,Individual Response ,whapt are you doing to spend !time while staying home due to covbid
4,Individual Response ,what are you donig to spend time whlie staying home due to coivd
5,Individual Response ,what are you donig to spend time whlie staying home due to coivd
6,Individual Response ,what are you doing to spend time while staying home due to covid
7,Individual Response ,what are doing to spend time while staying home to
8,Individual Response ,what are you doing to spend timi wile staying home due to covid
9,Individual Response ,what are you doi ng to spend t ime while staying home due to cov id
0,Nomenclature ,should cov7d be all caps
1,Nomenclature ,should covid be all czps
2,Nomenclature ,shoud covid be all caps
3,Nomenclature ,should co*vid be all caps
4,Nomenclature ,should covid be all casp
5,Nomenclature ,should covid be all casp
6,Nomenclature ,should covid be all caps
7,Nomenclature ,covid be all caps
8,Nomenclature ,should covid be alla caps
9,Nomenclature ,should co vid be all caps
0,Nomenclature ,Dhat is the genus of the swrs covid
1,Nomenclature ,wh*t is the genus of the s3rs covid
2,Nomenclature ,what is the genus of the srs covi
3,Nomenclature ,wheat is the genus of the savrs covid
4,Nomenclature ,hwat is the genus of the asrs covid
5,Nomenclature ,hwat is the genus of the asrs covid
6,Nomenclature ,what is the genus of the sars covid
7,Nomenclature ,is genus of the sars covid
8,Nomenclature ,what is lhe genus of THER sars covid
9,Nomenclature ,what is the gen us of the sars co vid
0,Nomenclature ,what is a novek covid
1,Nomenclature ,qhat is a novel covid
2,Nomenclature ,what is a noel covid
3,Nomenclature ,what is a novel cpovid
4,Nomenclature ,whta is a novel covid
5,Nomenclature ,whta is a novel covid
6,Nomenclature ,what is a novel covid
7,Nomenclature ,what is a novel
8,Nomenclature ,what is s novel covid
9,Nomenclature ,what is a no vel covid
0,Nomenclature ,who dovid pandemic
1,Nomenclature ,who covid pqBdemic
2,Nomenclature ,who covid panemi
3,Nomenclature ,who couvid pandemic
4,Nomenclature ,who coivd pandemic
5,Nomenclature ,who coivd pandemic
6,Nomenclature ,who covid pandemic
7,Nomenclature ,covid pandemic
8,Nomenclature ,wich covid pandemic
9,Nomenclature ,who covid pan demic
0,Nomenclature ,what Sovid stands for
1,Nomenclature ,what coMid stands for
2,Nomenclature ,wht covid stands for
3,Nomenclature ,what covid standFs for
4,Nomenclature ,what covdi stands for
5,Nomenclature ,what covdi stands for
6,Nomenclature ,what covid stands for
7,Nomenclature ,what covid stands
8,Nomenclature ,whay covid stands for
9,Nomenclature ,what co vid stands for
0,Nomenclature ,what is the (roper xapi%xl(zation for covid
1,Nomenclature ,whft is the proher capitalization for covid
2,Nomenclature ,what is the proper cpitaiztin for cvid
3,Nomenclature ,whaXt is the prope*r capitalization for covid
4,Nomenclature ,what is the proper captailzaition for ocvid
5,Nomenclature ,what is the proper captailzaition for ocvid
6,Nomenclature ,what be the proper capitalisation for covid
7,Nomenclature ,what is capitalization for covid
8,Nomenclature ,whant is trhe proper capitalization for covid
9,Nomenclature ,w hat is the proper capitalizat ion for covid
0,Nomenclature ,is covid a pand$mKc
1,Nomenclature ,is coviv a pandemic
2,Nomenclature ,is covid a padmic
3,Nomenclature ,is covid a FpandemiCc
4,Nomenclature ,is ocvid a pandemic
5,Nomenclature ,is ocvid a pandemic
6,Nomenclature ,is covid a pandemic
7,Nomenclature ,is covid pandemic
8,Nomenclature ,ti's covid a pandemic
9,Nomenclature ,is covid a pa ndemic
0,Nomenclature ,why is the dJqease be7ng called covid disease 2019
1,Nomenclature ,why is the disease beifg called covid &iseaEe 2019
2,Nomenclature ,why is the disease being called covi iease 2019
3,Nomenclature ,why is the dis9eas^e b(eing called covid disease 2019
4,Nomenclature ,why is the disease ebing called covid idesase 2019
5,Nomenclature ,why is the disease ebing called covid idesase 2019
6,Nomenclature ,why is the disease being called covid disease 2019
7,Nomenclature ,why is disease being called covid disease
8,Nomenclature ,why is thw disease beign called covid disease 2019
9,Nomenclature ,why is the disease b eing called covid di sease 2019
0,Nomenclature ,whWt is the acronym covid
1,Nomenclature ,what is the &cronyP covid
2,Nomenclature ,what is the acronym cvid
3,Nomenclature ,what is the acronym covpid
4,Nomenclature ,what is the acornmy covid
5,Nomenclature ,what is the acornmy covid
6,Nomenclature ,what is the acronym covid
7,Nomenclature ,what is the acronym
8,Nomenclature ,what is zhe acronym covid
9,Nomenclature ,what is the acronym cov id
0,Nomenclature ,what does it mean that Dovid is a gloVal 0andekic
1,Nomenclature ,what doMs it mean tha3 covid is a global pazdemia
2,Nomenclature ,wht dos it mean that covid is a global pndemc
3,Nomenclature ,what Cdoes it mean that cov5id is a global panadwemic
4,Nomenclature ,what dose it mean thta cvoid is a global pandemic
5,Nomenclature ,what dose it mean thta cvoid is a global pandemic
6,Nomenclature ,what does information technology mean that covid be a global pandemic
7,Nomenclature ,does mean that is a global pandemic
8,Nomenclature ,what dose it mean that covid is de glovbal pandemic
9,Nomenclature ,what d oes it mean that covid is a glo bal p andemic
0,Nomenclature ,Qhat is covid
1,Nomenclature ,dhat is covid
2,Nomenclature ,hat is covid
3,Nomenclature ,whrat is covid
4,Nomenclature ,whta is covid
5,Nomenclature ,whta is covid
6,Nomenclature ,what is covid
7,Nomenclature ,is covid
8,Nomenclature ,what ist covid
9,Nomenclature ,what is c ovid
0,Origin ,did covid coNe from a bat
1,Origin ,did covid Tome from a bat
2,Origin ,did coid come from a bat
3,Origin ,did @covid come from a bat
4,Origin ,did covid come frmo a bat
5,Origin ,did covid come frmo a bat
6,Origin ,did covid come from a bat
7,Origin ,covid come from a bat
8,Origin ,did covid come ffom a bat
9,Origin ,did covid come f rom a bat
0,Origin ,where covid sta4t
1,Origin ,where Povid start
2,Origin ,where covid strt
3,Origin ,wherge covid start
4,Origin ,wehre covid start
5,Origin ,wehre covid start
6,Origin ,where covid scratch
7,Origin ,covid start
8,Origin ,where covid starst
9,Origin ,where covid st art
0,Origin ,how was xovid created
1,Origin ,how was covid creHteq
2,Origin ,how was covid ceted
3,Origin ,how was covid %creaHted
4,Origin ,how was covid ceratde
5,Origin ,how was covid ceratde
6,Origin ,how was covid created
7,Origin ,was covid created
8,Origin ,Haw was covid created
9,Origin ,how was co vid created
0,Origin ,do you thinM coCid was injected purposely
1,Origin ,do you thi3k covi5 was injected purposely
2,Origin ,do you think covd was injected pposely
3,Origin ,do you think covid was inJjectmed ppurpoZsely
4,Origin ,do you thnik covid was injected purpolsey
5,Origin ,do you thnik covid was injected purpolsey
6,Origin ,do you think covid be injected purposely
7,Origin ,do think covid injected purposely
8,Origin ,dow you thougth covid was injected purposely
9,Origin ,do you t hink covid was in jected purposely
0,Origin ,where codid came from
1,Origin ,where covid came krom
2,Origin ,where covid cam from
3,Origin ,where covid came f(rom
4,Origin ,where cvoid came from
5,Origin ,where cvoid came from
6,Origin ,where covid occur from
7,Origin ,where covid came
8,Origin ,where covid come from
9,Origin ,where covid c ame from
0,Origin ,was dovid man made
1,Origin ,was covid man m*de
2,Origin ,was covd man made
3,Origin ,was co5vid man made
4,Origin ,was ocvid man made
5,Origin ,was ocvid man made
6,Origin ,was covid man made
7,Origin ,was man made
8,Origin ,wat covid man made
9,Origin ,was covid man ma de
0,Origin ,was covid meant to ha9pen
1,Origin ,was covid meant to haEpen
2,Origin ,was covid meant to happe
3,Origin ,was covi9d meant to happen
4,Origin ,was covdi meant to happen
5,Origin ,was covdi meant to happen
6,Origin ,was covid meant to happen
7,Origin ,was covid to happen
8,Origin ,wad covid meant to happen
9,Origin ,was covid me ant to happen
0,Origin ,did the covid deve.oL in a labora%o4&
1,Origin ,did the covTd devebo( in a laboratory
2,Origin ,did the ovid develop in a laboroy
3,Origin ,did the covid Ydeve6lop in a la@boratzo^ry
4,Origin ,did the covid deevlpo in a laboroatyr
5,Origin ,did the covid deevlpo in a laboroatyr
6,Origin ,did the covid develop in a laboratory
7,Origin ,the covid develop in laboratory
8,Origin ,dis the covid develop at a laboratory
9,Origin ,did the co vid de velop in a laboratory
0,Origin ,did Xovid come from a lab
1,Origin ,did covTd come from a lab
2,Origin ,did covid ome from a lab
3,Origin ,did covid coKme from a lab
4,Origin ,did coivd come from a lab
5,Origin ,did coivd come from a lab
6,Origin ,did covid seed from a lab
7,Origin ,did covid come from a
8,Origin ,did covid come foom a lab
9,Origin ,did covid c ome from a lab
0,Origin ,is the conspiracy Yheory of china spreaciJg covid legitimate
1,Origin ,is the co7sp52acy theory of china spreading covid lkgitimWte
2,Origin ,is the conspiracy theory of chin spreading covid legitia
3,Origin ,is the chongspMiracy theory of china spreIadDing covid legitimate
4,Origin ,is the conspircay theory of china psreadnig covid legitimate
5,Origin ,is the conspircay theory of china psreadnig covid legitimate
6,Origin ,is the conspiracy theory of taiwan propagate covid legitimate
7,Origin ,the theory of china spreading covid legitimate
8,Origin ,is ght conspirancy theory of china spreading covid legitimate
9,Origin ,is the consp iracy the ory of china spreading covid legitimate
0,Origin ,did civid come from snakes
1,Origin ,did c0vid come from snakes
2,Origin ,did covid coe from snakes
3,Origin ,did covid come from snaXkes
4,Origin ,did ocvid come from snakes
5,Origin ,did ocvid come from snakes
6,Origin ,did covid come from snakes
7,Origin ,did come from snakes
8,Origin ,didi covid come from snakes
9,Origin ,did co vid come from snakes
0,Origin ,was Vovid manufactured
1,Origin ,was covid manufactured
2,Origin ,was covid mnufaured
3,Origin ,was couvid manufactured
4,Origin ,was covdi manufactured
5,Origin ,was covdi manufactured
6,Origin ,was covid manufactured
7,Origin ,covid manufactured
8,Origin ,sas covid manufactured
9,Origin ,was cov id manufactured
0,Origin ,when was the Hovel coDid first reported
1,Origin ,shen was the novQl covid first reported
2,Origin ,when was the novel covid irst reored
3,Origin ,w_hen was the novel covid first Krepmorted
4,Origin ,when was the noevl covid first rperoted
5,Origin ,when was the noevl covid first rperoted
6,Origin ,when was the novel covid firstly reported
7,Origin ,when was the covid first
8,Origin ,when vas thel novel covid first reported
9,Origin ,when was the n ovel covid fir st reported
0,Origin ,wBat is the true prigin of the cpvid virus and is the wuhan bat snacking hy)pthes7s s%edible
1,Origin ,wzat is the true orFgin of the covSd viru@ and is the wu$an bat snacking hypothesis credible
2,Origin ,what is the true origin of the covd vrus and is the wuhan bat saking hypotsi cedibl
3,Origin ,ewhat is the true )origin of the c5ovid vi$rus and is the wuhan bat sn8ackiAng hypothesis credible
4,Origin ,hwat is the true orgiin of the coivd virsu and is the wuhan bat snacking hypothesis cerdilbe
5,Origin ,hwat is the true orgiin of the coivd virsu and is the wuhan bat snacking hypothesis cerdilbe
6,Origin ,what be the true stock of the covid virus and be the wuhan bat snack hypothesis credible
7,Origin ,what is of the covid virus and is the wuhan snacking credible
8,Origin ,wich is the true origin od tehe covid virus and is thwe wuhan bat snacking hypotesis credible
9,Origin ,wh at is the t rue o rigin of the covid virus and is the wuhan bat snac king hypothes is credible
0,Origin ,wherd did covid come from
1,Origin ,wheHe did covid come from
2,Origin ,where did covid coe from
3,Origin ,wherhe did covid come from
4,Origin ,wehre did covid come from
5,Origin ,wehre did covid come from
6,Origin ,where fare covid come from
7,Origin ,where did come from
8,Origin ,where did covid mome from
9,Origin ,where did co vid come from
0,Origin ,why covid Mappenew
1,Origin ,why covid BAppened
2,Origin ,why cvid happened
3,Origin ,why cov9id happened
4,Origin ,why coivd happened
5,Origin ,why coivd happened
6,Origin ,wherefore covid happened
7,Origin ,covid happened
8,Origin ,why covid hapen
9,Origin ,why covid hap pened
0,Origin ,how coviR starts
1,Origin ,how covid stqrts
2,Origin ,how covd starts
3,Origin ,how covid starsts
4,Origin ,how cvoid starts
5,Origin ,how cvoid starts
6,Origin ,how covid starts
7,Origin ,covid starts
8,Origin ,how covid startet
9,Origin ,how covid star ts
0,Origin ,did covid come from pamgo<in
1,Origin ,did covid come from pa3golVn
2,Origin ,did covid come frm pangolin
3,Origin ,did coPvid come from pangolin
4,Origin ,did covid come rfom pangolin
5,Origin ,did covid come rfom pangolin
6,Origin ,do covid come from pangolin
7,Origin ,did covid from pangolin
8,Origin ,Dad covid come from pangolin
9,Origin ,did c ovid come from pangolin
0,Origin ,is covid bio ennineeEeS
1,Origin ,is covid bio 7ngi9eereQ
2,Origin ,is covid bio egieerd
3,Origin ,is cov2id bio engineered
4,Origin ,is cvoid bio engineered
5,Origin ,is cvoid bio engineered
6,Origin ,is covid bio engineer
7,Origin ,is covid engineered
8,Origin ,sh's covid bio engineered
9,Origin ,is covid bio eng ineered
0,Origin ,in wJat speFiws did the covid virus likely originate
1,Origin ,in Phat species did the covid virus Xikely originate
2,Origin ,in what seces did the covid virus likely origina
3,Origin ,in what tspecPies did the covid vzirus likely originate
4,Origin ,in what species did the covid ivrus likely origniaet
5,Origin ,in what species did the covid ivrus likely origniaet
6,Origin ,in what species did the covid virus likely originate
7,Origin ,in did the covid virus likely originate
8,Origin ,in that species did tehere covid virus likely originate
9,Origin ,in w hat species did the covid virus l ikely originate
0,Other ,how has covid aff3cteV animals
1,Other ,how has covid 3ffexted animals
2,Other ,how has covid afeced animals
3,Other ,how has covid aLffectmed animals
4,Other ,how has covid faefcted animals
5,Other ,how has covid faefcted animals
6,Other ,how give covid affected animals
7,Other ,how covid affected animals
8,Other ,how has covid affected aniamals
9,Other ,how has c ovid affected animals
0,Other ,did covid mutQte
1,Other ,did covid mu9ate
2,Other ,did ovid mutate
3,Other ,did covi&d mutate
4,Other ,did covdi mutate
5,Other ,did covdi mutate
6,Other ,do covid mutate
7,Other ,did mutate
8,Other ,Dad covid mutate
9,Other ,did covid mut ate
0,Other ,has covid m8tQted
1,Other ,has covid putatel
2,Other ,has covid mutae
3,Other ,has covid muFtOated
4,Other ,has covid utmated
5,Other ,has covid utmated
6,Other ,have covid mutated
7,Other ,has covid
8,Other ,hes covid mutated
9,Other ,has covid muta ted
0,Other ,what cov(d looks like
1,Other ,what covid Vooks like
2,Other ,what covd looks like
3,Other ,what covid looks li^ke
4,Other ,what covid oloks like
5,Other ,what covid oloks like
6,Other ,what covid looks like
7,Other ,what covid looks
8,Other ,what covid looks lile
9,Other ,wh at covid looks like
0,Other ,dies covid mutate
1,Other ,does covid mAtate
2,Other ,does coid mutate
3,Other ,doyes covid mutate
4,Other ,odes covid mutate
5,Other ,odes covid mutate
6,Other ,does covid mutate
7,Other ,does mutate
8,Other ,soes covid mutate
9,Other ,does cov id mutate
0,Other ,do you personally kHow anybody who has been hospitalized due to the c0rona vidus cLvid
1,Other ,do you personally knZw anybody who has been hospitalized due to the co#ona v8rus covi%
2,Other ,do you personally kow anybo who has ben hospitalized due to the corona vrus covid
3,Other ,do you *persomnallgy kndow anybody who has been hospitalized due to the corsona virus coviXd
4,Other ,do you personally know anybody who has bene hospitalized due to the ocrona ivrus covdi
5,Other ,do you personally know anybody who has bene hospitalized due to the ocrona ivrus covdi
6,Other ,do you personally know anybody who has been hospitalized referable to the corona computer virus covid
7,Other ,do personally who has been hospitalized due the corona virus covid
8,Other ,doing you personally meet anybody who has beeb hospitalized due to the corona virtus covid
9,Other ,do you pers onally k now anybody who has be en hospitalized due to the cor ona virus covid
0,Prevention ,does cdc rec9mKend the use of daVemask or face coverings to prev#nh covid
1,Prevention ,does cdc recom)enr the use of facemask or faCe coverings to prevent coNid
2,Prevention ,oes cdc rommend the use of faceas or face coverings to prevent covid
3,Prevention ,does cdc recoJmmen5d the use of facemask or face coverings to pr#evAent coviWd
4,Prevention ,does cdc recomemdn the use of afcemsak or face coverings to pvreent covid
5,Prevention ,does cdc recomemdn the use of afcemsak or face coverings to pvreent covid
6,Prevention ,does cdc recommend the use of facemask or face natural covering to prevent covid
7,Prevention ,does cdc recommend the use of facemask coverings prevent covid
8,Prevention ,doe cdc recommed trhe use of facemask or face coverings to prevent covid
9,Prevention ,does cdc recommend the use of facemask or face cov erings to preve nt cov id
0,Prevention ,how do i stop covie
1,Prevention ,how do i stop eovid
2,Prevention ,how do i top covid
3,Prevention ,how do i s8top covid
4,Prevention ,how do i stpo covid
5,Prevention ,how do i stpo covid
6,Prevention ,how do i stop covid
7,Prevention ,how do i stop
8,Prevention ,how do I stop covid
9,Prevention ,how do i stop co vid
0,Prevention ,should i weWr a facemask
1,Prevention ,should i werr a facemask
2,Prevention ,shoud i wear a facemask
3,Prevention ,should i wear a fiacexmask
4,Prevention ,should i ewar a facemask
5,Prevention ,should i ewar a facemask
6,Prevention ,should i wear a facemask
7,Prevention ,should i wear a
8,Prevention ,should i wair a facemask
9,Prevention ,should i w ear a facemask
0,Prevention ,when sh0uld we identify ourselves as beinb sick and stSy at home
1,Prevention ,when should we iVTntify ourselves as being sick and otay at ho*e
2,Prevention ,wen shoul we dentfy ourselves as being sick and stay at home
3,Prevention ,when shBould we identify ourselves as being 2sick and stay at hom)e
4,Prevention ,when should we identify orueslves as being scik and tsay at home
5,Prevention ,when should we identify orueslves as being scik and tsay at home
6,Prevention ,when should we identify ourselves as being sick and stay at plate
7,Prevention ,when should we ourselves being sick and stay home
8,Prevention ,wenn should we identify ourselfs is being sick and stay at home
9,Prevention ,when s hould we identi fy o urselves as being sick and stay at home
0,Prevention ,can i make my own habd san7$izer
1,Prevention ,can i makb my own hant sanitizer
2,Prevention ,can i make my own had sanizer
3,Prevention ,can i m@ake my own lhand sanitizer
4,Prevention ,can i make my own hadn santizier
5,Prevention ,can i make my own hadn santizier
6,Prevention ,can i make my ain hand sanitizer
7,Prevention ,can i my own hand
8,Prevention ,can i nake mys own hand sanitizer
9,Prevention ,can i ma ke my own hand san itizer
0,Prevention ,until when should i wezr a mask afHer recovering from an illness with rrWpiraHory symp6oKs
1,Prevention ,unti) when should i wear a mask after recovering f$om an illness wigh respiratory zymptomf
2,Prevention ,until when shoud i ear a mask after recovering fom an illness ith respiratory symptoms
3,Prevention ,until w)hen shoul3d i wear a mWask after recovering froom an illness with respiratory symptoms
4,Prevention ,until wehn should i wera a mask after recovering from an illness wiht respraitroy symptoms
5,Prevention ,until wehn should i wera a mask after recovering from an illness wiht respraitroy symptoms
6,Prevention ,until when should i wear a mask after convalesce from an illness with respiratory symptoms
7,Prevention ,until when should a mask after recovering an with respiratory symptoms
8,Prevention ,until wenn should I’ve wering a mask after recovering froon an illness with respiratory symptoms
9,Prevention ,u ntil when s hould i wear a mask after recovering from an il lness with respiratory sy mptoms
0,Prevention ,qhat steps Dhould parents take to proteFF children during a community outbreak
1,Prevention ,what steps sho3ld parents take to protect childrGG during a c8mmun8ty outbreak
2,Prevention ,wht steps should parents take to prect children during a omunity outbreak
3,Prevention ,what steps should lp$arents take to perot+ect children during a commuCnit4y outbreak
4,Prevention ,what tseps should parents tkae to protect chlidern during a community outbreak
5,Prevention ,what tseps should parents tkae to protect chlidern during a community outbreak
6,Prevention ,what steps should parents take to protect children during a community irruption
7,Prevention ,what should parents to protect during a community outbreak
8,Prevention ,what steps shuould parents take to protectes children durning a community outbreak
9,Prevention ,what steps should parents ta ke to protect children during a commun ity out break
0,Prevention ,how can i Kake sure to not get affected wkth the nove. Vovid virus
1,Prevention ,how can i Aake sure to not get ajfUcted witI the novel co%id virus
2,Prevention ,how can i ake sue to not get affected with the nove covd virus
3,Prevention ,how can i xmake Xsure to not get affe_ctaed with the lnovel covid virus
4,Prevention ,how can i make sure to not get affected iwth the novle covdi vrius
5,Prevention ,how can i make sure to not get affected iwth the novle covdi vrius
6,Prevention ,how can i make indisputable to not get affected with the novel covid virus
7,Prevention ,can make sure to get affected with the novel covid virus
8,Prevention ,how could i make sure tj nont get afected with the novel covid virus
9,Prevention ,how can i m ake sure to not get affected w ith the n ovel c ovid virus
0,Prevention ,Ehat steps shou;d parents take to protect children
1,Prevention ,what steps should p5rhnts take to p)otecx children
2,Prevention ,what steps shoud prens take to protect children
3,Prevention ,what stepts should parents take to protect chilUdreKn
4,Prevention ,what steps should aprenst take to preotct children
5,Prevention ,what steps should aprenst take to preotct children
6,Prevention ,what steps should parent take to protect children
7,Prevention ,what steps should parents protect children
8,Prevention ,what steps should parents take tj protec children
9,Prevention ,what s teps should pare nts take to protect children
0,Prevention ,shpuld i use qoap and water or a hand sanitizer to proHDct against ckvid
1,Prevention ,should i use soMp and 7ater or a hand s3niUizer to protect against covSd
2,Prevention ,hould i use soap and watr or a hand sanitizer to rtect aaint covid
3,Prevention ,should i use soa)p and wate^r or a hanBd sanitizer to pKrotuect against covid
4,Prevention ,should i use soap and awter or a ahnd satniizer to protect against coivd
5,Prevention ,should i use soap and awter or a ahnd satniizer to protect against coivd
6,Prevention ,should i use soap and water or a mitt sanitizer to protect against covid
7,Prevention ,should i and water or hand sanitizer protect against covid
8,Prevention ,should i ues soap and water ore aa hal sanitizer to protect against covid
9,Prevention ,should i use soap and water or a ha nd sani tizer to pr otect against co vid
0,Prevention ,shouid i pitchase personal protective equipNwnt for me and my family
1,Prevention ,shouRd i pWrchas( qersonVl protective equipment for me and my family
2,Prevention ,sould i purchase persnl potetiv equipment for me and my family
3,Prevention ,should i purchase peJrsonavl protective e@qu*ipment for me and my f@amily
4,Prevention ,sholud i purchase personal rpotcetiev equipment for me and my family
5,Prevention ,sholud i purchase personal rpotcetiev equipment for me and my family
6,Prevention ,should i purchase personal protective equipment for pine tree state and my family
7,Prevention ,should i protective equipment for me my family
8,Prevention ,should i purshase personale protective equipment for me and my femily
9,Prevention ,should i p urchase personal prot ective equipment for me and my fa mily
0,Prevention ,why is thede no vaccine for the covOd virus
1,Prevention ,why is thire no vaccine for the covid virup
2,Prevention ,why is there no vcine for the covid vrus
3,Prevention ,why is there no vadcckine for the covid vir*us
4,Prevention ,why is tehre no vaccine for the covid viurs
5,Prevention ,why is tehre no vaccine for the covid viurs
6,Prevention ,why is there no vaccine for the covid computer virus
7,Prevention ,is there no vaccine for covid virus
8,Prevention ,whay is there no vaccine for che covid virus
9,Prevention ,why is there no vaccine for the co vid v irus
0,Prevention ,should i maje my own hanE sanitizer if i caBt figd it in the stores
1,Prevention ,Fhould i moke my own hand sanitizer if i canU f8nd it in the stores
2,Prevention ,shoud i make my own hand sanitizer if i can ind it in the stres
3,Prevention ,should i make my own hand syanitiYzer if i cFant finad it in the storeLs
4,Prevention ,should i mkae my own hand asniitzer if i acnt find it in the tsores
